,Player,Year,Team,GP,Min,Pts,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,Reb.Off,Reb.Def,Reb.Tot,Ast,Stl,Blk,TO,PF
1277,Kemba Walker,2011,Connecticut,43,37.9,23.7,5.9,12.6,46.9%,1.9,5.7,33.1%,6.3,7.7,81.6%,1.3,4.1,5.3,4.4,1.9,0.2,2.3,1.4
1278,Andrew Goudelock,2011,Col Of Charleston,38,35.3,23.6,5.1,10.4,49.4%,3.5,8.6,40.2%,2.9,3.6,82.4%,0.7,3.2,3.9,4.2,0.9,0.2,3.2,1.8
1279,Andrew Gonzalez,2011,Houston Baptist,28,37.2,23.4,4.9,11.3,43.4%,2.0,5.0,39.3%,7.7,9.5,81.5%,1.5,3.9,5.4,2.3,1.7,0.5,3.4,2.3
1280,Adrian Oliver,2011,San Jose St,33,34.8,23.0,5.6,12.9,43.4%,2.2,5.4,40.1%,5.4,6.5,82.3%,1.3,4.2,5.4,2.4,0.7,0.3,3.0,2.8
1281,Charles Jenkins,2011,Hofstra,33,37.4,22.4,5.4,9.8,55.6%,2.0,4.8,42.0%,5.6,6.7,82.9%,0.5,2.6,3.1,4.8,1.7,0.6,2.2,2.0
1282,Devon Beitzel,2011,No. Colorado,33,36.0,22.2,3.4,6.2,55.2%,3.0,7.4,40.3%,6.5,7.1,91.1%,0.4,3.1,3.5,1.6,1.4,0.0,2.5,1.8
1283,Xavier Silas,2011,Northern Illinois,31,32.3,21.8,4.5,9.9,45.6%,2.1,5.1,40.3%,6.5,7.8,83.5%,0.7,4.1,4.8,1.6,1.2,0.3,3.8,2.6
1284,Anatoly Kolesnikov,2011,Nicholls St,27,34.4,21.7,4.1,8.9,46.5%,2.2,7.1,30.9%,6.8,9.0,76.0%,1.3,4.7,6.1,2.3,1.1,0.2,3.4,2.4
1285,Norris Cole,2011,Cleveland St.,35,36.1,21.6,5.5,11.9,46.3%,1.3,4.1,32.4%,6.6,7.7,85.6%,0.8,5.1,5.9,5.5,2.1,0.1,2.9,2.5
1286,C.J. McCollum,2011,Lehigh,32,35.1,21.6,5.2,11.9,43.3%,1.6,5.3,31.0%,6.4,7.5,85.1%,1.9,5.8,7.8,2.1,2.5,0.7,2.8,1.7
1287,Klay Thompson,2011,Washington St,34,34.7,21.6,4.2,9.0,46.6%,2.9,7.2,39.8%,4.6,5.4,83.8%,0.7,4.5,5.2,3.7,1.6,0.9,3.4,2.9
1288,Orlando Johnson,2011,UCSB,33,33.8,21.0,4.7,9.5,50.0%,2.1,5.2,40.7%,5.2,6.5,79.6%,1.5,5.3,6.7,2.9,1.2,0.5,3.0,2.2
1289,Donald Sims,2011,Appalachian St.,30,38.5,20.7,3.9,7.7,51.3%,2.4,7.1,34.4%,5.5,6.4,86.0%,0.3,3.1,3.4,3.5,1.7,0.2,2.8,1.5
1290,Andrew Nicholson,2011,St. Bonaventure,33,33.5,20.7,7.4,12.6,58.5%,0.2,0.7,26.1%,5.3,7.5,71.0%,1.6,5.5,7.1,1.0,0.6,1.4,3.2,2.9
1291,Nolan Smith,2011,Duke,37,34.0,20.6,5.5,10.9,50.1%,1.5,4.4,35.0%,5.1,6.2,81.3%,1.2,3.3,4.5,5.1,1.2,0.1,3.2,1.9
1292,Alec Burks,2011,Colorado,39,32.3,20.6,5.8,11.4,51.0%,0.7,2.5,28.3%,6.8,8.4,81.9%,2.3,4.0,6.3,2.9,1.1,0.3,2.6,2.4
1293,Gilberto Clavell,2011,Sam Houston St,29,31.6,20.6,7.1,12.7,56.1%,0.0,0.2,16.7%,6.3,8.4,74.9%,3.3,3.9,7.2,1.0,0.6,0.2,2.9,3.5
1294,Vlad Moldoveanu,2011,American,30,33.7,20.4,4.6,9.6,47.7%,2.0,5.4,36.8%,5.3,6.4,83.2%,1.6,4.8,6.4,2.0,0.4,0.5,1.9,2.3
1295,Justin Hurtt,2011,Tulsa,33,33.7,20.4,3.8,8.1,46.8%,2.8,7.4,37.7%,4.5,5.5,81.7%,0.5,3.2,3.7,2.5,0.5,0.2,2.8,1.6
1296,JaJuan Johnson (Purdue),2011,Purdue,35,35.5,20.3,7.0,13.7,51.5%,0.4,1.5,28.3%,5.0,6.2,80.2%,2.4,6.2,8.6,1.0,0.9,2.3,1.7,1.6
1297,Talor Battle,2011,Penn St,34,38.1,20.2,3.5,7.2,48.6%,3.1,8.4,36.9%,3.9,5.1,74.9%,0.5,3.9,4.4,2.9,0.8,0.1,2.0,1.5
1298,Cameron Jones,2011,Northern Arizona,32,34.0,20.2,6.6,14.4,46.1%,1.2,3.0,39.2%,3.3,4.1,81.7%,1.0,3.7,4.6,3.3,0.7,0.1,2.3,2.1
1299,Damian Lillard,2011,Weber St,7,32.6,20.1,3.3,6.6,50.0%,2.1,6.6,32.6%,7.1,8.6,83.3%,0.7,3.9,4.6,3.7,1.6,0.3,3.4,2.6
1300,Jimmer Fredette,2011,BYU,37,36.2,29.2,6.1,12.4,48.7%,3.4,8.6,39.2%,6.9,7.7,89.5%,0.6,2.8,3.5,4.2,1.3,0.0,3.6,1.3
1301,Marshon Brooks,2011,Providence,33,36.4,24.5,6.5,11.5,56.2%,2.1,6.3,33.5%,5.2,6.8,76.2%,2.3,4.8,7.2,2.5,1.5,1.2,3.0,2.5
1302,Kemba Walker,2011,Connecticut,43,37.9,23.7,5.9,12.6,46.9%,1.9,5.7,33.1%,6.3,7.7,81.6%,1.3,4.1,5.3,4.4,1.9,0.2,2.3,1.4
1303,Andrew Goudelock,2011,Col Of Charleston,38,35.3,23.6,5.1,10.4,49.4%,3.5,8.6,40.2%,2.9,3.6,82.4%,0.7,3.2,3.9,4.2,0.9,0.2,3.2,1.8
1304,Andrew Gonzalez,2011,Houston Baptist,28,37.2,23.4,4.9,11.3,43.4%,2.0,5.0,39.3%,7.7,9.5,81.5%,1.5,3.9,5.4,2.3,1.7,0.5,3.4,2.3
1305,Adrian Oliver,2011,San Jose St,33,34.8,23.0,5.6,12.9,43.4%,2.2,5.4,40.1%,5.4,6.5,82.3%,1.3,4.2,5.4,2.4,0.7,0.3,3.0,2.8
1306,Charles Jenkins,2011,Hofstra,33,37.4,22.4,5.4,9.8,55.6%,2.0,4.8,42.0%,5.6,6.7,82.9%,0.5,2.6,3.1,4.8,1.7,0.6,2.2,2.0
1307,Devon Beitzel,2011,No. Colorado,33,36.0,22.2,3.4,6.2,55.2%,3.0,7.4,40.3%,6.5,7.1,91.1%,0.4,3.1,3.5,1.6,1.4,0.0,2.5,1.8
1308,Xavier Silas,2011,Northern Illinois,31,32.3,21.8,4.5,9.9,45.6%,2.1,5.1,40.3%,6.5,7.8,83.5%,0.7,4.1,4.8,1.6,1.2,0.3,3.8,2.6
1309,Anatoly Kolesnikov,2011,Nicholls St,27,34.4,21.7,4.1,8.9,46.5%,2.2,7.1,30.9%,6.8,9.0,76.0%,1.3,4.7,6.1,2.3,1.1,0.2,3.4,2.4
1310,Norris Cole,2011,Cleveland St.,35,36.1,21.6,5.5,11.9,46.3%,1.3,4.1,32.4%,6.6,7.7,85.6%,0.8,5.1,5.9,5.5,2.1,0.1,2.9,2.5
1311,C.J. McCollum,2011,Lehigh,32,35.1,21.6,5.2,11.9,43.3%,1.6,5.3,31.0%,6.4,7.5,85.1%,1.9,5.8,7.8,2.1,2.5,0.7,2.8,1.7
1312,Klay Thompson,2011,Washington St,34,34.7,21.6,4.2,9.0,46.6%,2.9,7.2,39.8%,4.6,5.4,83.8%,0.7,4.5,5.2,3.7,1.6,0.9,3.4,2.9
1313,Orlando Johnson,2011,UCSB,33,33.8,21.0,4.7,9.5,50.0%,2.1,5.2,40.7%,5.2,6.5,79.6%,1.5,5.3,6.7,2.9,1.2,0.5,3.0,2.2
1314,Donald Sims,2011,Appalachian St.,30,38.5,20.7,3.9,7.7,51.3%,2.4,7.1,34.4%,5.5,6.4,86.0%,0.3,3.1,3.4,3.5,1.7,0.2,2.8,1.5
1315,Andrew Nicholson,2011,St. Bonaventure,33,33.5,20.7,7.4,12.6,58.5%,0.2,0.7,26.1%,5.3,7.5,71.0%,1.6,5.5,7.1,1.0,0.6,1.4,3.2,2.9
1316,Nolan Smith,2011,Duke,37,34.0,20.6,5.5,10.9,50.1%,1.5,4.4,35.0%,5.1,6.2,81.3%,1.2,3.3,4.5,5.1,1.2,0.1,3.2,1.9
1317,Alec Burks,2011,Colorado,39,32.3,20.6,5.8,11.4,51.0%,0.7,2.5,28.3%,6.8,8.4,81.9%,2.3,4.0,6.3,2.9,1.1,0.3,2.6,2.4
1318,Gilberto Clavell,2011,Sam Houston St,29,31.6,20.6,7.1,12.7,56.1%,0.0,0.2,16.7%,6.3,8.4,74.9%,3.3,3.9,7.2,1.0,0.6,0.2,2.9,3.5
1319,Vlad Moldoveanu,2011,American,30,33.7,20.4,4.6,9.6,47.7%,2.0,5.4,36.8%,5.3,6.4,83.2%,1.6,4.8,6.4,2.0,0.4,0.5,1.9,2.3
1320,Justin Hurtt,2011,Tulsa,33,33.7,20.4,3.8,8.1,46.8%,2.8,7.4,37.7%,4.5,5.5,81.7%,0.5,3.2,3.7,2.5,0.5,0.2,2.8,1.6
1321,JaJuan Johnson (Purdue),2011,Purdue,35,35.5,20.3,7.0,13.7,51.5%,0.4,1.5,28.3%,5.0,6.2,80.2%,2.4,6.2,8.6,1.0,0.9,2.3,1.7,1.6
1322,Talor Battle,2011,Penn St,34,38.1,20.2,3.5,7.2,48.6%,3.1,8.4,36.9%,3.9,5.1,74.9%,0.5,3.9,4.4,2.9,0.8,0.1,2.0,1.5
1323,Cameron Jones,2011,Northern Arizona,32,34.0,20.2,6.6,14.4,46.1%,1.2,3.0,39.2%,3.3,4.1,81.7%,1.0,3.7,4.6,3.3,0.7,0.1,2.3,2.1
1324,Damian Lillard,2011,Weber St,7,32.6,20.1,3.3,6.6,50.0%,2.1,6.6,32.6%,7.1,8.6,83.3%,0.7,3.9,4.6,3.7,1.6,0.3,3.4,2.6
1325,Jimmer Fredette,2011,BYU,37,36.2,29.2,6.1,12.4,48.7%,3.4,8.6,39.2%,6.9,7.7,89.5%,0.6,2.8,3.5,4.2,1.3,0.0,3.6,1.3
1326,Marshon Brooks,2011,Providence,33,36.4,24.5,6.5,11.5,56.2%,2.1,6.3,33.5%,5.2,6.8,76.2%,2.3,4.8,7.2,2.5,1.5,1.2,3.0,2.5
1327,Kemba Walker,2011,Connecticut,43,37.9,23.7,5.9,12.6,46.9%,1.9,5.7,33.1%,6.3,7.7,81.6%,1.3,4.1,5.3,4.4,1.9,0.2,2.3,1.4
1328,Andrew Goudelock,2011,Col Of Charleston,38,35.3,23.6,5.1,10.4,49.4%,3.5,8.6,40.2%,2.9,3.6,82.4%,0.7,3.2,3.9,4.2,0.9,0.2,3.2,1.8
1329,Andrew Gonzalez,2011,Houston Baptist,28,37.2,23.4,4.9,11.3,43.4%,2.0,5.0,39.3%,7.7,9.5,81.5%,1.5,3.9,5.4,2.3,1.7,0.5,3.4,2.3
1330,Adrian Oliver,2011,San Jose St,33,34.8,23.0,5.6,12.9,43.4%,2.2,5.4,40.1%,5.4,6.5,82.3%,1.3,4.2,5.4,2.4,0.7,0.3,3.0,2.8
1331,Charles Jenkins,2011,Hofstra,33,37.4,22.4,5.4,9.8,55.6%,2.0,4.8,42.0%,5.6,6.7,82.9%,0.5,2.6,3.1,4.8,1.7,0.6,2.2,2.0
1332,Devon Beitzel,2011,No. Colorado,33,36.0,22.2,3.4,6.2,55.2%,3.0,7.4,40.3%,6.5,7.1,91.1%,0.4,3.1,3.5,1.6,1.4,0.0,2.5,1.8
1333,Xavier Silas,2011,Northern Illinois,31,32.3,21.8,4.5,9.9,45.6%,2.1,5.1,40.3%,6.5,7.8,83.5%,0.7,4.1,4.8,1.6,1.2,0.3,3.8,2.6
1334,Anatoly Kolesnikov,2011,Nicholls St,27,34.4,21.7,4.1,8.9,46.5%,2.2,7.1,30.9%,6.8,9.0,76.0%,1.3,4.7,6.1,2.3,1.1,0.2,3.4,2.4
1335,Norris Cole,2011,Cleveland St.,35,36.1,21.6,5.5,11.9,46.3%,1.3,4.1,32.4%,6.6,7.7,85.6%,0.8,5.1,5.9,5.5,2.1,0.1,2.9,2.5
1336,C.J. McCollum,2011,Lehigh,32,35.1,21.6,5.2,11.9,43.3%,1.6,5.3,31.0%,6.4,7.5,85.1%,1.9,5.8,7.8,2.1,2.5,0.7,2.8,1.7
1337,Klay Thompson,2011,Washington St,34,34.7,21.6,4.2,9.0,46.6%,2.9,7.2,39.8%,4.6,5.4,83.8%,0.7,4.5,5.2,3.7,1.6,0.9,3.4,2.9
1338,Orlando Johnson,2011,UCSB,33,33.8,21.0,4.7,9.5,50.0%,2.1,5.2,40.7%,5.2,6.5,79.6%,1.5,5.3,6.7,2.9,1.2,0.5,3.0,2.2
1339,Donald Sims,2011,Appalachian St.,30,38.5,20.7,3.9,7.7,51.3%,2.4,7.1,34.4%,5.5,6.4,86.0%,0.3,3.1,3.4,3.5,1.7,0.2,2.8,1.5
1340,Andrew Nicholson,2011,St. Bonaventure,33,33.5,20.7,7.4,12.6,58.5%,0.2,0.7,26.1%,5.3,7.5,71.0%,1.6,5.5,7.1,1.0,0.6,1.4,3.2,2.9
1341,Nolan Smith,2011,Duke,37,34.0,20.6,5.5,10.9,50.1%,1.5,4.4,35.0%,5.1,6.2,81.3%,1.2,3.3,4.5,5.1,1.2,0.1,3.2,1.9
1342,Alec Burks,2011,Colorado,39,32.3,20.6,5.8,11.4,51.0%,0.7,2.5,28.3%,6.8,8.4,81.9%,2.3,4.0,6.3,2.9,1.1,0.3,2.6,2.4
1343,Gilberto Clavell,2011,Sam Houston St,29,31.6,20.6,7.1,12.7,56.1%,0.0,0.2,16.7%,6.3,8.4,74.9%,3.3,3.9,7.2,1.0,0.6,0.2,2.9,3.5
1344,Vlad Moldoveanu,2011,American,30,33.7,20.4,4.6,9.6,47.7%,2.0,5.4,36.8%,5.3,6.4,83.2%,1.6,4.8,6.4,2.0,0.4,0.5,1.9,2.3
1345,Justin Hurtt,2011,Tulsa,33,33.7,20.4,3.8,8.1,46.8%,2.8,7.4,37.7%,4.5,5.5,81.7%,0.5,3.2,3.7,2.5,0.5,0.2,2.8,1.6
1346,JaJuan Johnson (Purdue),2011,Purdue,35,35.5,20.3,7.0,13.7,51.5%,0.4,1.5,28.3%,5.0,6.2,80.2%,2.4,6.2,8.6,1.0,0.9,2.3,1.7,1.6
1347,Talor Battle,2011,Penn St,34,38.1,20.2,3.5,7.2,48.6%,3.1,8.4,36.9%,3.9,5.1,74.9%,0.5,3.9,4.4,2.9,0.8,0.1,2.0,1.5
1348,Cameron Jones,2011,Northern Arizona,32,34.0,20.2,6.6,14.4,46.1%,1.2,3.0,39.2%,3.3,4.1,81.7%,1.0,3.7,4.6,3.3,0.7,0.1,2.3,2.1
1349,Damian Lillard,2011,Weber St,7,32.6,20.1,3.3,6.6,50.0%,2.1,6.6,32.6%,7.1,8.6,83.3%,0.7,3.9,4.6,3.7,1.6,0.3,3.4,2.6
1350,Jimmer Fredette,2011,BYU,37,36.2,29.2,6.1,12.4,48.7%,3.4,8.6,39.2%,6.9,7.7,89.5%,0.6,2.8,3.5,4.2,1.3,0.0,3.6,1.3
1351,Marshon Brooks,2011,Providence,33,36.4,24.5,6.5,11.5,56.2%,2.1,6.3,33.5%,5.2,6.8,76.2%,2.3,4.8,7.2,2.5,1.5,1.2,3.0,2.5
1352,Kemba Walker,2011,Connecticut,43,37.9,23.7,5.9,12.6,46.9%,1.9,5.7,33.1%,6.3,7.7,81.6%,1.3,4.1,5.3,4.4,1.9,0.2,2.3,1.4
1353,Andrew Goudelock,2011,Col Of Charleston,38,35.3,23.6,5.1,10.4,49.4%,3.5,8.6,40.2%,2.9,3.6,82.4%,0.7,3.2,3.9,4.2,0.9,0.2,3.2,1.8
1354,Andrew Gonzalez,2011,Houston Baptist,28,37.2,23.4,4.9,11.3,43.4%,2.0,5.0,39.3%,7.7,9.5,81.5%,1.5,3.9,5.4,2.3,1.7,0.5,3.4,2.3
1355,Adrian Oliver,2011,San Jose St,33,34.8,23.0,5.6,12.9,43.4%,2.2,5.4,40.1%,5.4,6.5,82.3%,1.3,4.2,5.4,2.4,0.7,0.3,3.0,2.8
1356,Charles Jenkins,2011,Hofstra,33,37.4,22.4,5.4,9.8,55.6%,2.0,4.8,42.0%,5.6,6.7,82.9%,0.5,2.6,3.1,4.8,1.7,0.6,2.2,2.0
1357,Devon Beitzel,2011,No. Colorado,33,36.0,22.2,3.4,6.2,55.2%,3.0,7.4,40.3%,6.5,7.1,91.1%,0.4,3.1,3.5,1.6,1.4,0.0,2.5,1.8
1358,Xavier Silas,2011,Northern Illinois,31,32.3,21.8,4.5,9.9,45.6%,2.1,5.1,40.3%,6.5,7.8,83.5%,0.7,4.1,4.8,1.6,1.2,0.3,3.8,2.6
1359,Anatoly Kolesnikov,2011,Nicholls St,27,34.4,21.7,4.1,8.9,46.5%,2.2,7.1,30.9%,6.8,9.0,76.0%,1.3,4.7,6.1,2.3,1.1,0.2,3.4,2.4
1360,Norris Cole,2011,Cleveland St.,35,36.1,21.6,5.5,11.9,46.3%,1.3,4.1,32.4%,6.6,7.7,85.6%,0.8,5.1,5.9,5.5,2.1,0.1,2.9,2.5
1361,C.J. McCollum,2011,Lehigh,32,35.1,21.6,5.2,11.9,43.3%,1.6,5.3,31.0%,6.4,7.5,85.1%,1.9,5.8,7.8,2.1,2.5,0.7,2.8,1.7
1362,Klay Thompson,2011,Washington St,34,34.7,21.6,4.2,9.0,46.6%,2.9,7.2,39.8%,4.6,5.4,83.8%,0.7,4.5,5.2,3.7,1.6,0.9,3.4,2.9
1363,Orlando Johnson,2011,UCSB,33,33.8,21.0,4.7,9.5,50.0%,2.1,5.2,40.7%,5.2,6.5,79.6%,1.5,5.3,6.7,2.9,1.2,0.5,3.0,2.2
1364,Donald Sims,2011,Appalachian St.,30,38.5,20.7,3.9,7.7,51.3%,2.4,7.1,34.4%,5.5,6.4,86.0%,0.3,3.1,3.4,3.5,1.7,0.2,2.8,1.5
1365,Andrew Nicholson,2011,St. Bonaventure,33,33.5,20.7,7.4,12.6,58.5%,0.2,0.7,26.1%,5.3,7.5,71.0%,1.6,5.5,7.1,1.0,0.6,1.4,3.2,2.9
1366,Nolan Smith,2011,Duke,37,34.0,20.6,5.5,10.9,50.1%,1.5,4.4,35.0%,5.1,6.2,81.3%,1.2,3.3,4.5,5.1,1.2,0.1,3.2,1.9
1367,Alec Burks,2011,Colorado,39,32.3,20.6,5.8,11.4,51.0%,0.7,2.5,28.3%,6.8,8.4,81.9%,2.3,4.0,6.3,2.9,1.1,0.3,2.6,2.4
1368,Gilberto Clavell,2011,Sam Houston St,29,31.6,20.6,7.1,12.7,56.1%,0.0,0.2,16.7%,6.3,8.4,74.9%,3.3,3.9,7.2,1.0,0.6,0.2,2.9,3.5
1369,Vlad Moldoveanu,2011,American,30,33.7,20.4,4.6,9.6,47.7%,2.0,5.4,36.8%,5.3,6.4,83.2%,1.6,4.8,6.4,2.0,0.4,0.5,1.9,2.3
1370,Justin Hurtt,2011,Tulsa,33,33.7,20.4,3.8,8.1,46.8%,2.8,7.4,37.7%,4.5,5.5,81.7%,0.5,3.2,3.7,2.5,0.5,0.2,2.8,1.6
1371,JaJuan Johnson (Purdue),2011,Purdue,35,35.5,20.3,7.0,13.7,51.5%,0.4,1.5,28.3%,5.0,6.2,80.2%,2.4,6.2,8.6,1.0,0.9,2.3,1.7,1.6
1372,Talor Battle,2011,Penn St,34,38.1,20.2,3.5,7.2,48.6%,3.1,8.4,36.9%,3.9,5.1,74.9%,0.5,3.9,4.4,2.9,0.8,0.1,2.0,1.5
1373,Cameron Jones,2011,Northern Arizona,32,34.0,20.2,6.6,14.4,46.1%,1.2,3.0,39.2%,3.3,4.1,81.7%,1.0,3.7,4.6,3.3,0.7,0.1,2.3,2.1
1374,Damian Lillard,2011,Weber St,7,32.6,20.1,3.3,6.6,50.0%,2.1,6.6,32.6%,7.1,8.6,83.3%,0.7,3.9,4.6,3.7,1.6,0.3,3.4,2.6
1375,Jimmer Fredette,2011,BYU,37,36.2,29.2,6.1,12.4,48.7%,3.4,8.6,39.2%,6.9,7.7,89.5%,0.6,2.8,3.5,4.2,1.3,0.0,3.6,1.3
1376,Marshon Brooks,2011,Providence,33,36.4,24.5,6.5,11.5,56.2%,2.1,6.3,33.5%,5.2,6.8,76.2%,2.3,4.8,7.2,2.5,1.5,1.2,3.0,2.5
1377,Kemba Walker,2011,Connecticut,43,37.9,23.7,5.9,12.6,46.9%,1.9,5.7,33.1%,6.3,7.7,81.6%,1.3,4.1,5.3,4.4,1.9,0.2,2.3,1.4
1378,Andrew Goudelock,2011,Col Of Charleston,38,35.3,23.6,5.1,10.4,49.4%,3.5,8.6,40.2%,2.9,3.6,82.4%,0.7,3.2,3.9,4.2,0.9,0.2,3.2,1.8
1379,Andrew Gonzalez,2011,Houston Baptist,28,37.2,23.4,4.9,11.3,43.4%,2.0,5.0,39.3%,7.7,9.5,81.5%,1.5,3.9,5.4,2.3,1.7,0.5,3.4,2.3
1380,Adrian Oliver,2011,San Jose St,33,34.8,23.0,5.6,12.9,43.4%,2.2,5.4,40.1%,5.4,6.5,82.3%,1.3,4.2,5.4,2.4,0.7,0.3,3.0,2.8
1381,Charles Jenkins,2011,Hofstra,33,37.4,22.4,5.4,9.8,55.6%,2.0,4.8,42.0%,5.6,6.7,82.9%,0.5,2.6,3.1,4.8,1.7,0.6,2.2,2.0
1382,Devon Beitzel,2011,No. Colorado,33,36.0,22.2,3.4,6.2,55.2%,3.0,7.4,40.3%,6.5,7.1,91.1%,0.4,3.1,3.5,1.6,1.4,0.0,2.5,1.8
1383,Xavier Silas,2011,Northern Illinois,31,32.3,21.8,4.5,9.9,45.6%,2.1,5.1,40.3%,6.5,7.8,83.5%,0.7,4.1,4.8,1.6,1.2,0.3,3.8,2.6
1384,Anatoly Kolesnikov,2011,Nicholls St,27,34.4,21.7,4.1,8.9,46.5%,2.2,7.1,30.9%,6.8,9.0,76.0%,1.3,4.7,6.1,2.3,1.1,0.2,3.4,2.4
1385,Norris Cole,2011,Cleveland St.,35,36.1,21.6,5.5,11.9,46.3%,1.3,4.1,32.4%,6.6,7.7,85.6%,0.8,5.1,5.9,5.5,2.1,0.1,2.9,2.5
1386,C.J. McCollum,2011,Lehigh,32,35.1,21.6,5.2,11.9,43.3%,1.6,5.3,31.0%,6.4,7.5,85.1%,1.9,5.8,7.8,2.1,2.5,0.7,2.8,1.7
1387,Klay Thompson,2011,Washington St,34,34.7,21.6,4.2,9.0,46.6%,2.9,7.2,39.8%,4.6,5.4,83.8%,0.7,4.5,5.2,3.7,1.6,0.9,3.4,2.9
1388,Orlando Johnson,2011,UCSB,33,33.8,21.0,4.7,9.5,50.0%,2.1,5.2,40.7%,5.2,6.5,79.6%,1.5,5.3,6.7,2.9,1.2,0.5,3.0,2.2
1389,Donald Sims,2011,Appalachian St.,30,38.5,20.7,3.9,7.7,51.3%,2.4,7.1,34.4%,5.5,6.4,86.0%,0.3,3.1,3.4,3.5,1.7,0.2,2.8,1.5
1390,Andrew Nicholson,2011,St. Bonaventure,33,33.5,20.7,7.4,12.6,58.5%,0.2,0.7,26.1%,5.3,7.5,71.0%,1.6,5.5,7.1,1.0,0.6,1.4,3.2,2.9
1391,Nolan Smith,2011,Duke,37,34.0,20.6,5.5,10.9,50.1%,1.5,4.4,35.0%,5.1,6.2,81.3%,1.2,3.3,4.5,5.1,1.2,0.1,3.2,1.9
1392,Alec Burks,2011,Colorado,39,32.3,20.6,5.8,11.4,51.0%,0.7,2.5,28.3%,6.8,8.4,81.9%,2.3,4.0,6.3,2.9,1.1,0.3,2.6,2.4
1393,Gilberto Clavell,2011,Sam Houston St,29,31.6,20.6,7.1,12.7,56.1%,0.0,0.2,16.7%,6.3,8.4,74.9%,3.3,3.9,7.2,1.0,0.6,0.2,2.9,3.5
1394,Vlad Moldoveanu,2011,American,30,33.7,20.4,4.6,9.6,47.7%,2.0,5.4,36.8%,5.3,6.4,83.2%,1.6,4.8,6.4,2.0,0.4,0.5,1.9,2.3
1395,Justin Hurtt,2011,Tulsa,33,33.7,20.4,3.8,8.1,46.8%,2.8,7.4,37.7%,4.5,5.5,81.7%,0.5,3.2,3.7,2.5,0.5,0.2,2.8,1.6
1396,JaJuan Johnson (Purdue),2011,Purdue,35,35.5,20.3,7.0,13.7,51.5%,0.4,1.5,28.3%,5.0,6.2,80.2%,2.4,6.2,8.6,1.0,0.9,2.3,1.7,1.6
1397,Talor Battle,2011,Penn St,34,38.1,20.2,3.5,7.2,48.6%,3.1,8.4,36.9%,3.9,5.1,74.9%,0.5,3.9,4.4,2.9,0.8,0.1,2.0,1.5
1398,Cameron Jones,2011,Northern Arizona,32,34.0,20.2,6.6,14.4,46.1%,1.2,3.0,39.2%,3.3,4.1,81.7%,1.0,3.7,4.6,3.3,0.7,0.1,2.3,2.1
1399,Damian Lillard,2011,Weber St,7,32.6,20.1,3.3,6.6,50.0%,2.1,6.6,32.6%,7.1,8.6,83.3%,0.7,3.9,4.6,3.7,1.6,0.3,3.4,2.6
1400,Jimmer Fredette,2011,BYU,37,36.2,29.2,6.1,12.4,48.7%,3.4,8.6,39.2%,6.9,7.7,89.5%,0.6,2.8,3.5,4.2,1.3,0.0,3.6,1.3
1401,Marshon Brooks,2011,Providence,33,36.4,24.5,6.5,11.5,56.2%,2.1,6.3,33.5%,5.2,6.8,76.2%,2.3,4.8,7.2,2.5,1.5,1.2,3.0,2.5
1402,Kemba Walker,2011,Connecticut,43,37.9,23.7,5.9,12.6,46.9%,1.9,5.7,33.1%,6.3,7.7,81.6%,1.3,4.1,5.3,4.4,1.9,0.2,2.3,1.4
1403,Andrew Goudelock,2011,Col Of Charleston,38,35.3,23.6,5.1,10.4,49.4%,3.5,8.6,40.2%,2.9,3.6,82.4%,0.7,3.2,3.9,4.2,0.9,0.2,3.2,1.8
1404,Andrew Gonzalez,2011,Houston Baptist,28,37.2,23.4,4.9,11.3,43.4%,2.0,5.0,39.3%,7.7,9.5,81.5%,1.5,3.9,5.4,2.3,1.7,0.5,3.4,2.3
1405,Adrian Oliver,2011,San Jose St,33,34.8,23.0,5.6,12.9,43.4%,2.2,5.4,40.1%,5.4,6.5,82.3%,1.3,4.2,5.4,2.4,0.7,0.3,3.0,2.8
1406,Charles Jenkins,2011,Hofstra,33,37.4,22.4,5.4,9.8,55.6%,2.0,4.8,42.0%,5.6,6.7,82.9%,0.5,2.6,3.1,4.8,1.7,0.6,2.2,2.0
1407,Devon Beitzel,2011,No. Colorado,33,36.0,22.2,3.4,6.2,55.2%,3.0,7.4,40.3%,6.5,7.1,91.1%,0.4,3.1,3.5,1.6,1.4,0.0,2.5,1.8
1408,Xavier Silas,2011,Northern Illinois,31,32.3,21.8,4.5,9.9,45.6%,2.1,5.1,40.3%,6.5,7.8,83.5%,0.7,4.1,4.8,1.6,1.2,0.3,3.8,2.6
1409,Anatoly Kolesnikov,2011,Nicholls St,27,34.4,21.7,4.1,8.9,46.5%,2.2,7.1,30.9%,6.8,9.0,76.0%,1.3,4.7,6.1,2.3,1.1,0.2,3.4,2.4
1410,Norris Cole,2011,Cleveland St.,35,36.1,21.6,5.5,11.9,46.3%,1.3,4.1,32.4%,6.6,7.7,85.6%,0.8,5.1,5.9,5.5,2.1,0.1,2.9,2.5
1411,C.J. McCollum,2011,Lehigh,32,35.1,21.6,5.2,11.9,43.3%,1.6,5.3,31.0%,6.4,7.5,85.1%,1.9,5.8,7.8,2.1,2.5,0.7,2.8,1.7
